#: table_doi: 10.17182/hepdata.153301.v1/t9
#: name: Results for full matrix m(tt) differential
#: description: Results for full matrix measurement differential in $m(t\bar{t})$
#: data_file: results_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
#: Results for,full matrix measurement differential in $m(t\bar{t})$
#: Location,Figures 19-20
Coefficient name,Measured coefficient value,stat +,stat -,syst +,syst -
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,0.97254,0.0040957,-0.0040957,0.059924,-0.059924
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0040368,0.032594,-0.032594,0.0077564,-0.0077564
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.015248,0.028016,-0.028016,0.0067262,-0.0067262
$P_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0011744,0.017884,-0.017884,0.012087,-0.012087
$\bar{P}_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.063251,0.03246,-0.03246,0.0076476,-0.0076476
$\bar{P}_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.011796,0.027782,-0.027782,0.0064051,-0.0064051
$\bar{P}_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0025111,0.017765,-0.017765,0.012477,-0.012477
$C_{rr}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.26886,0.067907,-0.067907,0.017693,-0.017693
$C_{nn}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.53998,0.037136,-0.037136,0.018551,-0.018551
$C_{kk}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.42705,0.067122,-0.067122,0.031363,-0.031363
$C_{nr}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.074415,0.082399,-0.082399,0.017791,-0.017791
$C_{rk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.037671,0.1442,-0.1442,0.039924,-0.039924
$C_{nk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.071977,0.11499,-0.11499,0.026471,-0.026471
$C_{nr}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.060647,0.071487,-0.071487,0.015558,-0.015558
$C_{rk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.057672,0.12997,-0.12997,0.029375,-0.029375
$C_{nk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.065321,0.11163,-0.11163,0.026179,-0.026179
$c$ for $400 < m(t\bar{t}) < 600 $ GeV,0.92207,0.0018271,-0.0018271,0.052749,-0.052749
$P_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.0023809,0.0064982,-0.0064982,0.0027056,-0.0027056
$P_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.0065941,0.0052979,-0.0052979,0.0011239,-0.0011239
$P_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.023653,0.0064214,-0.0064214,0.0046628,-0.0046628
$\bar{P}_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.00050059,0.0064781,-0.0064781,0.0032081,-0.0032081
$\bar{P}_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.0097376,0.0052779,-0.0052779,0.00113,-0.00113
$\bar{P}_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.016082,0.0064065,-0.0064065,0.0044386,-0.0044386
$C_{rr}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.018475,0.019232,-0.019232,0.0067203,-0.0067203
$C_{nn}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.28766,0.012371,-0.012371,0.0053706,-0.0053706
$C_{kk}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.34411,0.022469,-0.022469,0.011308,-0.011308
$C_{nr}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.00071176,0.022896,-0.022896,0.0047863,-0.0047863
$C_{rk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.30544,0.03204,-0.03204,0.010924,-0.010924
$C_{nk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-0.020006,0.026264,-0.026264,0.0055768,-0.0055768
$C_{nr}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.015956,0.020899,-0.020899,0.0043944,-0.0043944
$C_{rk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.021477,0.030168,-0.030168,0.0063019,-0.0063019
$C_{nk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,0.0065388,0.025116,-0.025116,0.0053644,-0.0053644
$c$ for $600 < m(t\bar{t}) < 800 $ GeV,0.93355,0.0040283,-0.0040283,0.056953,-0.056953
$P_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.025015,0.012308,-0.012308,0.0036564,-0.0036564
$P_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.0028353,0.009951,-0.009951,0.0021109,-0.0021109
$P_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.00014183,0.012714,-0.012714,0.0065093,-0.0065093
$\bar{P}_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.0077917,0.012272,-0.012272,0.0042738,-0.0042738
$\bar{P}_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.0045598,0.0099323,-0.0099323,0.0021622,-0.0021622
$\bar{P}_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.020393,0.012779,-0.012779,0.0065075,-0.0065075
$C_{rr}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.063846,0.03632,-0.03632,0.0096259,-0.0096259
$C_{nn}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.23733,0.02465,-0.02465,0.0059394,-0.0059394
$C_{kk}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.093204,0.040547,-0.040547,0.010088,-0.010088
$C_{nr}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.017321,0.043687,-0.043687,0.009214,-0.009214
$C_{rk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.25814,0.055504,-0.055504,0.013136,-0.013136
$C_{nk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.054184,0.046135,-0.046135,0.0098891,-0.0098891
$C_{nr}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.078106,0.040961,-0.040961,0.0085419,-0.0085419
$C_{rk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,-0.056223,0.054617,-0.054617,0.011394,-0.011394
$C_{nk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,0.033497,0.044441,-0.044441,0.0093701,-0.0093701
$c$ for $m(t\bar{t}) > 800 $ GeV,0.96687,0.0044691,-0.0044691,0.062662,-0.062662
$P_{r}$ for $m(t\bar{t}) > 800 $ GeV,0.0061213,0.013583,-0.013583,0.0042044,-0.0042044
$P_{n}$ for $m(t\bar{t}) > 800 $ GeV,0.0065011,0.0106,-0.0106,0.0023265,-0.0023265
$P_{k}$ for $m(t\bar{t}) > 800 $ GeV,0.00030721,0.014426,-0.014426,0.0084269,-0.0084269
$\bar{P}_{r}$ for $m(t\bar{t}) > 800 $ GeV,-0.013468,0.013634,-0.013634,0.0042349,-0.0042349
$\bar{P}_{n}$ for $m(t\bar{t}) > 800 $ GeV,0.003101,0.0106,-0.0106,0.0023406,-0.0023406
$\bar{P}_{k}$ for $m(t\bar{t}) > 800 $ GeV,0.025511,0.014444,-0.014444,0.0082019,-0.0082019
$C_{rr}$ for $m(t\bar{t}) > 800 $ GeV,-0.20151,0.042063,-0.042063,0.01111,-0.01111
$C_{nn}$ for $m(t\bar{t}) > 800 $ GeV,0.1747,0.027424,-0.027424,0.007028,-0.007028
$C_{kk}$ for $m(t\bar{t}) > 800 $ GeV,0.040483,0.047643,-0.047643,0.015799,-0.015799
$C_{nr}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-0.072623,0.048729,-0.048729,0.010584,-0.010584
$C_{rk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-0.11777,0.06357,-0.06357,0.014698,-0.014698
$C_{nk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-0.064197,0.052553,-0.052553,0.011546,-0.011546
$C_{nr}^{-}$ for $m(t\bar{t}) > 800 $ GeV,0.0090166,0.046864,-0.046864,0.010072,-0.010072
$C_{rk}^{-}$ for $m(t\bar{t}) > 800 $ GeV,0.010191,0.063777,-0.063777,0.013727,-0.013727
