#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $600 < m(t\bar{t}) < 800 $ GeV,4.1318e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,4.9336e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,7.0005e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,-3.1215e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,9.2183e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,-7.805e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,1.213e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $m(t\bar{t}) > 800 $ GeV,0.0025043
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $m(t\bar{t}) > 800 $ GeV,-1.4583e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $m(t\bar{t}) > 800 $ GeV,-4.8514e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $m(t\bar{t}) > 800 $ GeV,3.1025e-07
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $m(t\bar{t}) > 800 $ GeV,-6.185e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $m(t\bar{t}) > 800 $ GeV,-1.1897e-07
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $m(t\bar{t}) > 800 $ GeV,-3.2706e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $m(t\bar{t}) > 800 $ GeV,0.00014486
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $m(t\bar{t}) > 800 $ GeV,-6.4194e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $m(t\bar{t}) > 800 $ GeV,0.00020499
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-3.5058e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,0.00010001
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-5.1135e-06
